"Experiment" "Beetle" "Trial" "Heading" "ShortName" "Indirect" "Direct" "Condition"
"405" "LPexper.20181127.LowMWay.Thornwood" 41 5 70 "Stars 2
Rural" FALSE FALSE "StarsRural"
"406" "LPexper.20181127.LowMWay.Thornwood" 41 6 140 "Stars 2
Rural" FALSE FALSE "StarsRural"
"407" "LPexper.20181127.LowMWay.Thornwood" 41 7 140 "Stars 2
Rural" FALSE FALSE "StarsRural"
"408" "LPexper.20181127.LowMWay.Thornwood" 41 8 135 "Stars 2
Rural" FALSE FALSE "StarsRural"
"409" "LPexper.20181127.LowMWay.Thornwood" 41 9 145 "Stars 2
Rural" FALSE FALSE "StarsRural"
"410" "LPexper.20181127.LowMWay.Thornwood" 41 10 125 "Stars 2
Rural" FALSE FALSE "StarsRural"
"411" "LPexper.20181127.LowMWay.Thornwood" 42 1 80 "Stars 2
Rural" FALSE FALSE "StarsRural"
"412" "LPexper.20181127.LowMWay.Thornwood" 42 2 120 "Stars 2
Rural" FALSE FALSE "StarsRural"
"413" "LPexper.20181127.LowMWay.Thornwood" 42 3 160 "Stars 2
Rural" FALSE FALSE "StarsRural"
"414" "LPexper.20181127.LowMWay.Thornwood" 42 4 140 "Stars 2
Rural" FALSE FALSE "StarsRural"
"415" "LPexper.20181127.LowMWay.Thornwood" 42 5 140 "Stars 2
Rural" FALSE FALSE "StarsRural"
"416" "LPexper.20181127.LowMWay.Thornwood" 42 6 150 "Stars 2
Rural" FALSE FALSE "StarsRural"
"417" "LPexper.20181127.LowMWay.Thornwood" 42 7 150 "Stars 2
Rural" FALSE FALSE "StarsRural"
"418" "LPexper.20181127.LowMWay.Thornwood" 42 8 160 "Stars 2
Rural" FALSE FALSE "StarsRural"
"419" "LPexper.20181127.LowMWay.Thornwood" 42 9 170 "Stars 2
Rural" FALSE FALSE "StarsRural"
"420" "LPexper.20181127.LowMWay.Thornwood" 42 10 145 "Stars 2
Rural" FALSE FALSE "StarsRural"
"421" "LPexper.20181127.LowMWay.Thornwood" 43 1 100 "Stars 2
Rural" FALSE FALSE "StarsRural"
"422" "LPexper.20181127.LowMWay.Thornwood" 43 2 75 "Stars 2
Rural" FALSE FALSE "StarsRural"
"423" "LPexper.20181127.LowMWay.Thornwood" 43 3 40 "Stars 2
Rural" FALSE FALSE "StarsRural"
"424" "LPexper.20181127.LowMWay.Thornwood" 43 4 75 "Stars 2
Rural" FALSE FALSE "StarsRural"
"425" "LPexper.20181127.LowMWay.Thornwood" 43 5 110 "Stars 2
Rural" FALSE FALSE "StarsRural"
"426" "LPexper.20181127.LowMWay.Thornwood" 43 6 115 "Stars 2
Rural" FALSE FALSE "StarsRural"
"427" "LPexper.20181127.LowMWay.Thornwood" 43 7 100 "Stars 2
Rural" FALSE FALSE "StarsRural"
"428" "LPexper.20181127.LowMWay.Thornwood" 43 8 95 "Stars 2
Rural" FALSE FALSE "StarsRural"
"429" "LPexper.20181127.LowMWay.Thornwood" 43 9 120 "Stars 2
Rural" FALSE FALSE "StarsRural"
"430" "LPexper.20181127.LowMWay.Thornwood" 43 10 115 "Stars 2
Rural" FALSE FALSE "StarsRural"
"431" "LPexper.20181127.LowMWay.Thornwood" 44 1 65 "Stars 2
Rural" FALSE FALSE "StarsRural"
"432" "LPexper.20181127.LowMWay.Thornwood" 44 2 65 "Stars 2
Rural" FALSE FALSE "StarsRural"
"433" "LPexper.20181127.LowMWay.Thornwood" 44 3 80 "Stars 2
Rural" FALSE FALSE "StarsRural"
"434" "LPexper.20181127.LowMWay.Thornwood" 44 4 75 "Stars 2
